year,총 소비량,탁주,약주,청주,맥주,과실주,증류식소주,희석식소주,위스키,브랜디,일반증류주,리큐르,기타주류
2005,9.103,0.299,0.127,0.09,1.887,0.121,0.004,5.964,0.336,0.014,0.095,0.059,0.017
2006,9.193,0.302,0.121,0.084,1.93,0.139,0.004,6.09,0.323,0.018,0.095,0.065,0.023
2007,9.268,0.302,0.092,0.081,2.007,0.185,0.005,6.037,0.351,0.019,0.104,0.059,0.024
2008,9.398,0.304,0.075,0.076,2.052,0.167,0.005,6.199,0.309,0.016,0.103,0.063,0.028
2009,8.841,0.444,0.06,0.081,1.97,0.135,0.007,5.671,0.254,0.014,0.132,0.048,0.025
2010,8.914,0.694,0.051,0.082,1.903,0.137,0.007,5.609,0.255,0.013,0.091,0.041,0.032
2011,8.858,0.761,0.05,0.085,1.939,0.133,0.006,5.485,0.224,0.011,0.1,0.039,0.026
2012,8.989,0.736,0.043,0.09,1.995,0.132,0.006,5.593,0.194,0.009,0.111,0.054,0.026
2013,8.69,0.693,0.037,0.094,2.024,0.146,0.007,5.278,0.174,0.008,0.142,0.056,0.031
2014,8.921,0.693,0.031,0.086,2.014,0.149,0.007,5.515,0.168,0.011,0.155,0.055,0.037
2015,9.094,0.662,0.029,0.081,2.026,0.17,0.008,5.445,0.161,0.007,0.175,0.29,0.041
2016,8.686,0.63,0.029,0.083,1.998,0.153,0.01,5.265,0.152,0.007,0.139,0.149,0.07
2017,8.652,0.641,0.027,0.089,1.941,0.139,0.015,5.303,0.143,0.005,0.129,0.08,0.139
2018,8.477,0.626,0.028,0.091,1.906,0.15,0.014,5.11,0.126,0.005,0.126,0.076,0.22
2019,8.29,0.573,0.027,0.077,1.845,0.171,0.014,5.067,0.105,0.005,0.121,0.07,0.214
2020,7.88,0.584,0.023,0.072,1.631,0.211,0.015,4.813,0.087,0.005,0.113,0.056,0.27
