순위,영화명,관람가,평점,예매율,개봉일
1,엘리멘탈,전체관람가,8.6,31.5%,23.06.14
2,인디아나 존스: 운명의 다이얼,12세이상관람가,8.3,20.8%,23.06.28
3,스파이더맨: 어크로스 더 유니버스,전체관람가,8.3,9.7%,23.06.21
4,범죄도시3,15세이상관람가,6.6,8.5%,23.05.31
5,귀공자,청소년관람불가,8.1,6.7%,23.06.21
6,2022 영탁 단독 콘서트 - 탁쇼,전체관람가,9.5,4.9%,23.06.28
7,악마들,청소년관람불가,8.8,2.7%,23.07.05
8,여름날 우리,12세이상관람가,7.9,2.2%,23.06.28
9,애스터로이드 시티,12세이상관람가,6.9,1.6%,23.06.28
10,극장판 도라에몽: 진구와 하늘의 유토피아,전체관람가,10.0,1.2%,23.06.30
11,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,12세이상관람가,8.9,1.1%,23.06.23
12,파이어하트,전체관람가,8.5,0.8%,23.06.28
13,플래시,12세이상관람가,7.9,0.7%,23.06.14
14,라방,청소년관람불가,8.8,0.7%,23.06.28
15,수라,전체관람가,9.8,0.5%,23.06.21
16,샤이닝,청소년관람불가,8.0,0.3%,23.06.28
17,엔니오: 더 마에스트로,12세이상관람가,10.0,0.3%,23.07.05
18,보 이즈 어프레이드,청소년관람불가,10.0,0.3%,23.07.05
19,빈틈없는 사이,15세이상관람가,9.2,0.2%,23.07.05
20,하나님의 마음,12세이상관람가,8.4,0.2%,23.06.28
